tweet_id,tweet_text,user,timestamp,extracted_winner
290620657987887104,JLo's dress! #eredcarpet #GoldenGlobes,Dozaaa_xo,2013-01-13 18:45:38,Jlo's Dress! #eredcarpet #goldenglobes
290620657715273728,"US, Weakly #GoldenGlobes",alejandraoleary,2013-01-13 18:45:38,"Us, Weakly #goldenglobes"
290620657551671297,hellen mirren *O* #goldenglobes,ItsBlerena,2013-01-13 18:45:38,Hellen Mirren *o* #goldenglobes
290620656394051584,Kerry Washington is perfect!!!! #GoldenGlobes,FringePhalanges,2013-01-13 18:45:38,Kerry Washington Is Perfect!!!! #goldenglobes
290620655840403459,Miu Miu!! yes @kerrywashington #goldenGlobes,LovelleEbonie,2013-01-13 18:45:38,Miu Miu!! Yes @kerrywashington #goldenglobes
290620655446159360,@goldenglobes Saw George Clooney..:-) :-),staffzen43,2013-01-13 18:45:38,@goldenglobes Saw George Clooney..:-) :-)
290620655236444162,"RT @Forever21: Oh, Adele. Takes our #heart every time. &lt;3 #GoldenGlobes #ERedCarpet",JayneGWilson26,2013-01-13 18:45:38,"Rt @forever21: Oh, Adele"
290620661959888896,"RT @Loki_Page: #GoldenGlobes Times! We wish good luck tonight to Rachel Weisz, nominated for Best Actress. ""The Deep Blue Sea""",QueenF1989,2013-01-13 18:45:39,"Actress. ""the Deep Blue Sea"
290620661611782144,Addy: She a princess? #GoldenGlobes,huskerash,2013-01-13 18:45:39,Addy: She A Princess? #goldenglobes
290620659770482688,Damn JLo!!!! #GoldenGlobes,Fri76,2013-01-13 18:45:39,Damn Jlo!!!! #goldenglobes
290620659241992195,partiu para ver #goldenglobes,trbruna,2013-01-13 18:45:39,Partiu Para Ver #goldenglobes
